city,city_ascii,lat,lng,country,admin_name,capital,population,id
Selkirk,Selkirk,50.15,-96.8833,Canada,Manitoba,,9986,1124499880
Trepassey,Trepassey,46.737,-53.3633,Canada,Newfoundland and Labrador,,398,1124344083
Schefferville,Schefferville,54.8,-66.8167,Canada,Québec,,471,1124403382
Whitehorse,Whitehorse,60.7167,-135.05,Canada,Yukon,admin,23276,1124348186
Trout River,Trout River,49.4837,-58.1166,Canada,Newfoundland and Labrador,,452,1124733447
Yorkton,Yorkton,51.2171,-102.4665,Canada,Saskatchewan,,15172,1124108820
Antigonish,Antigonish,45.6269,-61.9982,Canada,Nova Scotia,,6739,1124839247
Gander,Gander,48.95,-54.55,Canada,Newfoundland and Labrador,,3345,1124310517
Berens River,Berens River,52.3666,-97.0333,Canada,Manitoba,,892,1124806860
Port-Menier,Port-Menier,49.8226,-64.348,Canada,Québec,,263,1124109240
Wetaskiwin,Wetaskiwin,52.9666,-113.3833,Canada,Alberta,,11823,1124492484
Shamattawa,Shamattawa,55.8504,-92.0833,Canada,Manitoba,,870,1124131561
Steinbach,Steinbach,49.5171,-96.6833,Canada,Manitoba,,9729,1124152692
Thunder Bay,Thunder Bay,48.4462,-89.275,Canada,Ontario,,99334,1124398712
Oshawa,Oshawa,43.88,-78.85,Canada,Ontario,,450963,1124541904
Chicoutimi,Chicoutimi,48.4333,-71.0667,Canada,Québec,,53940,1124426272
Melville,Melville,50.9333,-102.8,Canada,Saskatchewan,,4279,1124823140
Brooks,Brooks,50.5671,-111.9,Canada,Alberta,,14163,1124093123
Dauphin,Dauphin,51.15,-100.05,Canada,Manitoba,,9077,1124144510
Smithers,Smithers,54.7666,-127.1666,Canada,British Columbia,,6245,1124191574
Terrace,Terrace,54.5,-128.5833,Canada,British Columbia,,19443,1124878479
Lutselke,Lutselke,62.4001,-110.7333,Canada,Northwest Territories,,102,1124525451
Resolute,Resolute,74.6833,-94.9,Canada,Nunavut,,250,1124211405
Quesnel,Quesnel,52.9837,-122.4833,Canada,British Columbia,,13788,1124028015
Island Lake,Island Lake,53.9666,-94.7666,Canada,Manitoba,,10,1124887306
Halifax,Halifax,44.65,-63.6,Canada,Nova Scotia,admin,359111,1124130981
Watson Lake,Watson Lake,60.1166,-128.8,Canada,Yukon,,802,1124162676
Sydney,Sydney,46.0661,-60.18,Canada,Nova Scotia,,37538,1124205375
Dawson Creek,Dawson Creek,55.767,-120.2333,Canada,British Columbia,,10802,1124081402
Uranium City,Uranium City,59.5666,-108.6166,Canada,Saskatchewan,,89,1124993293
Timmins,Timmins,48.4666,-81.3333,Canada,Ontario,,34974,1124760634
Saskatoon,Saskatoon,52.17,-106.67,Canada,Saskatchewan,,198958,1124612546
Iqaluit,Iqaluit,63.7505,-68.5002,Canada,Nunavut,admin,6124,1124379539
Alert,Alert,82.4833,-62.25,Canada,Nunavut,,125,1124921853
Thessalon,Thessalon,46.25,-83.55,Canada,Ontario,,1464,1124087342
Yellowknife,Yellowknife,62.442,-114.397,Canada,Northwest Territories,admin,19234,1124208917
Camrose,Camrose,53.0167,-112.8166,Canada,Alberta,,15808,1124351657
